============================ ★ 2分屏 → 3分屏 全过程 [18:29:07.500 ~ 18:29:11.200]
18:29:08.298  hyper_launcher_app                         | : <app-frb-pool-app_launcher::recents::systemui_shared::transition::window_transion_manager:2380>: set_split_dock_animating: true
18:29:09.548  ActivityThread                             | Activity = com.android.contacts.activities.PeopleActivity@2422560, onConfigurationChanged = {1.0 460mcc11mnc [zh_CN] ldltr sw375dp w375dp h815dp 440dpi nrml long com
18:29:09.549  SchedBoost                                 | handleLowLatencySceneBoost active= false, methodName= startTransition
18:29:09.549  MultipleSplitUtils                         | handleTaskInfoChanged task: 7694
18:29:09.549  MultipleSplitStageTaskListener             | onTaskInfoChanged id:7694 isVisible:false isVisibleRequested:true isFocused:false taskActivity:ComponentInfo{com.xingin.xhs/com.xingin.xhs.index.v2.IndexActivityV2} 
18:29:09.549  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7691)
18:29:09.549  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7691)
18:29:09.549  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7694)
18:29:09.549  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7694)
18:29:09.549  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(1558, 66 - 2266, 1606), mTaskId = 7694
18:29:09.549  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7694)
18:29:09.549  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7694)
18:29:09.549  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam taskId: 7694 pending: [android.os.BinderProxy@f2eb4] readyDuringSync: [] tracks: [Track#0 Track#1 ]
18:29:09.549  MultiTaskingTaskRepository                 | onTaskInfoChanged::taskId = 7694, windowingMode = 6, mMultiWindowTaskIdsInZOrder = [7705, 7689, 7703, 7690, 7697, 7696, 7695, 7694, 7693, 7692], mFullscreenTaskIdsIn
18:29:09.549  MultiTaskingTaskInfo                       | getCoverLayerController:: null, com.android.wm.shell.multitasking.common.taskmanager.MultiTaskingTaskInfo.lambda$updateCoverLayerController$2:0 com.android.wm.shell.
18:29:09.549  MultipleSplitUtils                         | handleTaskInfoChanged task: 7691
18:29:09.550  MultipleSplitLayout                        | updateConfiguration config:{1.0 460mcc11mnc [zh_CN] ldltr sw608dp w860dp h608dp 440dpi lrg compactNeeded hdr widecg land finger -keyb/v/h -nav/h winConfig={ mBounds=
18:29:09.550  MultipleSplitLayout                        |  mRootBounds:Rect(0, 0 - 2364, 1672) mRotation:1 mOrientation:2 mDensity:440
18:29:09.550  MultipleSplitLayout                        | com.android.wm.shell.multiplesplit.MultipleSplitRootTaskOrganizer.onTaskInfoChanged:20 com.android.wm.shell.ShellTaskOrganizer.onTaskInfoChanged:122 android.window.T
18:29:09.550  MultiTaskingTaskRepository                 | needSkip::is multiple root task
18:29:09.550  MultiTaskingFolmeAnimExecutor              | removeFolmeStateAndRunFinishRunnable queue size = 0, folmeControl = @625a04c, folmeState = @261a87f, isInterrupted = false, isMarkAnimFinish: = true
18:29:09.551  MultiTaskingFolmeAnimExecutor              | removeFolmeStateAndRunFinishRunnable::finishAnim taskId: 0 mAnimatingFolmeControl: [MultiTaskingFolmeControl{taskId=0, animationLeash=Surface(name=Task=7688#71025)/@
18:29:09.551  MultiTaskingCornerShadowController         | onTaskAnimationEnd
18:29:09.551  MultiTaskingFolmeAnimExecutor              | removeFolmeStateAndRunFinishRunnable queue size = 0, folmeControl = @451b6b9, folmeState = @d219080, isInterrupted = false, isMarkAnimFinish: = true
18:29:09.551  MultiTaskingFolmeAnimExecutor              | removeFolmeStateAndRunFinishRunnable::finishAnim taskId: 0 mAnimatingFolmeControl: [MultiTaskingFolmeControl{taskId=0, animationLeash=Surface(name=Task=7688#71025)/@
18:29:09.551  MultiTaskingCornerShadowController         | onTaskAnimationEnd
18:29:09.552  MultiTaskingFolmeAnimExecutor              | removeFolmeStateAndRunFinishRunnable queue size = 0, folmeControl = @e5ce8ba, folmeState = @b2c35e5, isInterrupted = false, isMarkAnimFinish: = true
18:29:09.552  MultiTaskingFolmeAnimExecutor              | removeFolmeStateAndRunFinishRunnable::finishAnim taskId: 0 mAnimatingFolmeControl: [MultiTaskingFolmeControl{taskId=0, animationLeash=Surface(name=Task=7688#71025)/@
18:29:09.552  MultiTaskingCornerShadowController         | onTaskAnimationEnd
18:29:09.552  MultiTaskingFolmeAnimExecutor              | removeFinishRunnable: {}
18:29:09.552  MultiTaskingFolmeAnimExecutor              | removeFolmeStateAndRunFinishRunnable::runnableQueue = []
18:29:09.552  MiuiDecorationHomeController               | relayout::taskId=1, userId=0, visible=true, bounds=Rect(0, 0 - 2364, 1672), focused=true, activityType=2, displayId=0, baseActivity=ComponentInfo{com.miui.home/com.m
18:29:09.552  MiuiDecorationHomeBottom                   | disableMultiStatusBarNavBar needCaption inSoScFullMode.
18:29:09.552  MiuiDecorationHomeController               | relayout::taskId=1, userId=0, visible=true, bounds=Rect(0, 0 - 2364, 1672), focused=true, activityType=2, displayId=0, baseActivity=ComponentInfo{com.miui.home/com.m
18:29:09.552  MiuiDecorationHomeBottom                   | disableMultiStatusBarNavBar needCaption inSoScFullMode.
18:29:09.552  MiuiDecorationBase                         | setVisibility_TopCaption, mCaptionVisible= false, visible= true, taskId= 7688, callers = com.android.wm.shell.multitasking.miuimultiwinswitch.miuiwindowdecor.decorat
18:29:09.552  MiuiDecorationBase                         | setVisibility_BottomCaption, mCaptionVisible= false, visible= true, taskId= 7688, callers = com.android.wm.shell.multitasking.miuimultiwinswitch.miuiwindowdecor.deco
18:29:09.556  ATMSImpl                                   | getOrientation: SoScRoot + multipleSplit active → SENSOR_LANDSCAPE, task=Task{b6bfe70 #7691 type=undefined}
18:29:09.556  MiuiSplitInputMethodImpl                   | getDeclaredMethod:java.lang.NoSuchMethodException: com.android.server.inputmethod.InputMethodManagerService.getSelectedMethodIdLocked []
18:29:09.557  ActivityThread                             | Activity = com.android.calendar.homepage.AllInOneActivity@d7bf129, onConfigurationChanged = {1.0 460mcc11mnc [zh_CN] ldltr sw375dp w375dp h815dp 440dpi nrml long com
18:29:09.558  hyper_launcher_app                         | : <app-frb-pool-app_launcher::api::model::recents::task_description:25>: [TitleTrace] TaskDescription::from_ref label=None
18:29:09.558  hyper_launcher_app                         | : <app-frb-pool-app_launcher::api::model::recents::task_description:25>: [TitleTrace] TaskDescription::from_ref label=None
18:29:09.558  hyper_launcher_app                         | : <app-frb-pool-app_launcher::api::model::recents::grouped_recent_task_info:32>: multipleSplit task_info1 = 7703, task_Info2 = "7705", multiple_split_task_ids = Ok(S
18:29:09.558  hyper_launcher_app                         | : <app-frb-pool-app_launcher::api::model::recents::grouped_recent_task_info:63>: init Split TaskInfo
18:29:09.559  hyper_launcher_app                         | : <app-frb-pool-app_launcher::api::model::recents::task_description:25>: [TitleTrace] TaskDescription::from_ref label=None
18:29:09.559  hyper_launcher_app                         | : <app-frb-pool-app_launcher::api::model::recents::task_description:25>: [TitleTrace] TaskDescription::from_ref label=None
18:29:09.559  hyper_launcher_app                         | : <app-frb-pool-app_launcher::api::model::recents::task_description:25>: [TitleTrace] TaskDescription::from_ref label=None
18:29:09.560  xring_gralloc                              | req_witdh=1540, req_height=708, req_format=0x1, usage=0xb00, alloc_format=RGBA_8888 + AFBC + SPLIT + YUV TRANSFORM + SPARSE + Datatype: UNORM
18:29:09.560  wm_on_configuration_changed_called         | [0,com.android.contacts.activities.TwelveKeyDialer,{1.0 460mcc11mnc [zh_CN] ldltr sw375dp w375dp h815dp 440dpi nrml long compactNeeded hdr widecg port finger -keyb/v
18:29:09.560  VRI[TwelveKeyDialer]                       | updateConfiguration: {0.9301381 460mcc11mnc [zh_CN] ldltr sw375dp w375dp h815dp 409dpi nrml long compactNeeded hdr widecg port finger -keyb/v/h -nav/h winConfig={ mB
18:29:09.561  Activity                                   | Activity = ActivityInfo{d5d22c7 com.android.contacts.activities.TwelveKeyDialer}, Resume onConfigurationChanged = {0.9301381 460mcc11mnc [zh_CN] ldltr sw375dp w375dp
18:29:09.561  xring_gralloc                              | req_witdh=1540, req_height=708, req_format=0x1, usage=0xb00, alloc_format=RGBA_8888 + AFBC + SPLIT + YUV TRANSFORM + SPARSE + Datatype: UNORM
18:29:09.561  xring_gralloc                              | req_witdh=1540, req_height=708, req_format=0x1, usage=0xb00, alloc_format=RGBA_8888 + AFBC + SPLIT + YUV TRANSFORM + SPARSE + Datatype: UNORM
18:29:09.562  xring_gralloc                              | req_witdh=1540, req_height=708, req_format=0x1, usage=0xb00, alloc_format=RGBA_8888 + AFBC + SPLIT + YUV TRANSFORM + SPARSE + Datatype: UNORM
18:29:09.566  MultipleSplitUtils                         | handleTaskInfoChanged task: 7695
18:29:09.566  MultipleSplitStageTaskListener             | onTaskInfoChanged id:7695 isVisible:false isVisibleRequested:false isFocused:false taskActivity:null stageId:STAGE_D isFocused:false
18:29:09.566  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7691)
18:29:09.566  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7691)
18:29:09.566  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7695)
18:29:09.566  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7695)
18:29:09.566  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(2290, 66 - 2998, 1606), mTaskId = 7695
18:29:09.566  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7695)
18:29:09.566  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7695)
18:29:09.566  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam taskId: 7695 pending: [android.os.BinderProxy@f2eb4] readyDuringSync: [] tracks: [Track#0 Track#1 ]
18:29:09.566  MultiTaskingTaskRepository                 | onTaskInfoChanged::taskId = 7695, windowingMode = 6, mMultiWindowTaskIdsInZOrder = [7705, 7689, 7703, 7690, 7697, 7696, 7695, 7694, 7693, 7692], mFullscreenTaskIdsIn
18:29:09.566  MultiTaskingTaskInfo                       | getCoverLayerController:: null, com.android.wm.shell.multitasking.common.taskmanager.MultiTaskingTaskInfo.lambda$updateCoverLayerController$2:0 com.android.wm.shell.
18:29:09.566  MultipleSplitUtils                         | handleTaskInfoChanged task: 7697
18:29:09.566  MultipleSplitStageTaskListener             | onTaskInfoChanged id:7697 isVisible:false isVisibleRequested:false isFocused:false taskActivity:null stageId:STAGE_F isFocused:false
18:29:09.566  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7691)
18:29:09.566  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7691)
18:29:09.566  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7697)
18:29:09.566  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7697)
18:29:09.566  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(3754, 66 - 4462, 1606), mTaskId = 7697
18:29:09.566  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7697)
18:29:09.566  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7697)
18:29:09.566  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam taskId: 7697 pending: [android.os.BinderProxy@f2eb4] readyDuringSync: [] tracks: [Track#0 Track#1 ]
18:29:09.566  MultiTaskingTaskRepository                 | onTaskInfoChanged::taskId = 7697, windowingMode = 6, mMultiWindowTaskIdsInZOrder = [7705, 7689, 7703, 7690, 7697, 7696, 7695, 7694, 7693, 7692], mFullscreenTaskIdsIn
18:29:09.566  MultiTaskingTaskInfo                       | getCoverLayerController:: null, com.android.wm.shell.multitasking.common.taskmanager.MultiTaskingTaskInfo.lambda$updateCoverLayerController$2:0 com.android.wm.shell.
18:29:09.567  hyper_launcher_app                         | : <binder:25236_4-app_launcher::api::model::recents::task_description:25>: [TitleTrace] TaskDescription::from_ref label=None
18:29:09.567  hyper_launcher_app                         | : <binder:25236_4-app_launcher::recents::task::recent_model:442>: [TitleTrace] push notify_task_changed task_id=7691 label=None
18:29:09.569  hyper_launcher_app                         | : <binder:25236_4-app_launcher::api::model::recents::task_description:25>: [TitleTrace] TaskDescription::from_ref label=None
18:29:09.569  hyper_launcher_app                         | : <binder:25236_4-app_launcher::recents::task::recent_model:442>: [TitleTrace] push notify_task_changed task_id=7705 label=None
18:29:09.569  MultipleSplitUtils                         | handleTaskInfoChanged task: 7696
18:29:09.569  MultipleSplitStageTaskListener             | onTaskInfoChanged id:7696 isVisible:false isVisibleRequested:false isFocused:false taskActivity:null stageId:STAGE_E isFocused:false
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7691)
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7691)
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7696)
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7696)
18:29:09.569  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(3022, 66 - 3730, 1606), mTaskId = 7696
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7696)
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7696)
18:29:09.569  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam taskId: 7696 pending: [android.os.BinderProxy@f2eb4] readyDuringSync: [] tracks: [Track#0 Track#1 ]
18:29:09.569  MultiTaskingTaskRepository                 | onTaskInfoChanged::taskId = 7696, windowingMode = 6, mMultiWindowTaskIdsInZOrder = [7705, 7689, 7703, 7690, 7697, 7696, 7695, 7694, 7693, 7692], mFullscreenTaskIdsIn
18:29:09.569  VRI[TwelveKeyDialer]                       | WindowInsets changed: 1031x2243 statusBars:null navigationBars:null mandatorySystemGestures:null 
18:29:09.569  MultiTaskingTaskInfo                       | getCoverLayerController:: null, com.android.wm.shell.multitasking.common.taskmanager.MultiTaskingTaskInfo.lambda$updateCoverLayerController$2:0 com.android.wm.shell.
18:29:09.569  MultipleSplitUtils                         | handleTaskInfoChanged task: 7689
18:29:09.569  ShellSplitScreen                           | onTaskInfoChanged: taskId=7689 taskAct=null stageId=MAIN
18:29:09.569  SoScStageTaskListener                      | onTaskInfoChanged id:7689 isVisible:false isVisibleRequested:false isFocused:false taskActivity:null stageId:MAIN isFocused:false
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7688)
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7688)
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7689)
18:29:09.569  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(0, 0 - 1170, 1672), mTaskId = 7689
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7689)
18:29:09.569  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam taskId: 7689 pending: [android.os.BinderProxy@f2eb4] readyDuringSync: [] tracks: [Track#0 Track#1 ]
18:29:09.569  MultiTaskingTaskRepository                 | onTaskInfoChanged::taskId = 7689, windowingMode = 6, mMultiWindowTaskIdsInZOrder = [7705, 7689, 7703, 7690, 7697, 7696, 7695, 7694, 7693, 7692], mFullscreenTaskIdsIn
18:29:09.569  MultipleSplitUtils                         | handleTaskInfoChanged task: 7690
18:29:09.569  ShellSplitScreen                           | onTaskInfoChanged: taskId=7690 taskAct=null stageId=SIDE
18:29:09.569  SoScStageTaskListener                      | onTaskInfoChanged id:7690 isVisible:false isVisibleRequested:false isFocused:false taskActivity:null stageId:SIDE isFocused:false
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7688)
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7688)
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7690)
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7690)
18:29:09.569  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(1194, 0 - 2364, 1672), mTaskId = 7690
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7690)
18:29:09.569  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7690)
18:29:09.569  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam taskId: 7690 pending: [android.os.BinderProxy@f2eb4] readyDuringSync: [] tracks: [Track#0 Track#1 ]
18:29:09.569  MultiTaskingTaskRepository                 | onTaskInfoChanged::taskId = 7690, windowingMode = 6, mMultiWindowTaskIdsInZOrder = [7705, 7689, 7703, 7690, 7697, 7696, 7695, 7694, 7693, 7692], mFullscreenTaskIdsIn
18:29:09.569  MultipleSplitUtils                         | handleTaskInfoChanged task: 7691
18:29:09.570  MultipleSplitLayout                        | updateConfiguration config:{1.0 460mcc11mnc [zh_CN] ldltr sw608dp w860dp h608dp 440dpi lrg compactNeeded hdr widecg land finger -keyb/v/h -nav/h winConfig={ mBounds=
18:29:09.570  MultipleSplitLayout                        |  mRootBounds:Rect(0, 0 - 2364, 1672) mRotation:1 mOrientation:2 mDensity:440
18:29:09.570  MultipleSplitLayout                        | com.android.wm.shell.multiplesplit.MultipleSplitRootTaskOrganizer.onTaskInfoChanged:20 com.android.wm.shell.ShellTaskOrganizer.onTaskInfoChanged:122 android.window.T
18:29:09.570  MultiTaskingTaskRepository                 | needSkip::is multiple root task
18:29:09.570  MultipleSplitUtils                         | handleTaskInfoChanged task: 1
18:29:09.570  MultiTaskingTaskRepository                 | needSkip::home task snapshot: isVisible=true isVisibleRequested=false
18:29:09.570  MiuiDecorationHomeBottom                   | disableMultiStatusBarNavBar needCaption inSoScFullMode.
18:29:09.570  ShellSplitScreen                           | onTaskVanished: task=7705 stageId=MAIN
18:29:09.570  SoScStageTaskListener                      | onTaskVanished id:7705 isVisible:true isFocused:false stageId:MAIN isFocused:false
18:29:09.570  wm_on_configuration_changed_called         | [0,com.android.calendar.homepage.AllInOneActivity,{1.0 460mcc11mnc [zh_CN] ldltr sw375dp w375dp h815dp 440dpi nrml long compactNeeded hdr widecg port finger -keyb/v/
18:29:09.570  VRI[AllInOneActivity]                      | updateConfiguration: {0.9301381 460mcc11mnc [zh_CN] ldltr sw375dp w375dp h815dp 409dpi nrml long compactNeeded hdr widecg port finger -keyb/v/h -nav/h winConfig={ mB
18:29:09.570  MultipleSplitStageTaskListener             | onTaskAppeared id:7705 isVisible:true isFocused:false taskParent:7692 rootTask:7692 taskActivity:ComponentInfo{com.android.calendar/com.android.calendar.homepage.All
18:29:09.570  MultipleSplitRootTaskOrganizer             | updateRecentTasks splitTasks: [7705, -1, -1]com.android.wm.shell.multiplesplit.MultipleSplitRootTaskOrganizer.updateRecentTasks:115 com.android.wm.shell.multiplespli
18:29:09.570  MultipleSplitRootTaskOrganizer             | addRecentTasks splitBounds=mIsMultipleSplit: true mIsInQuickViewMode: false mMultipleSplitBounds: [Rect(94, 66 - 802, 1606), Rect(826, 66 - 1534, 1606), Rect(1558, 6
18:29:09.570  MultipleSplitUtils                         | addMultipleSplitPair splitBounds: mIsMultipleSplit: true mIsInQuickViewMode: false mMultipleSplitBounds: [Rect(94, 66 - 802, 1606), Rect(826, 66 - 1534, 1606), Rect(
18:29:09.571  MultipleSplitStageTaskListener             | updateRealFakeStageInfo root = STAGE_A mTopTaskInfo = TaskInfo{userId=0 taskId=7705 effectiveUid=10245 displayId=0 isRunning=true baseIntent=Intent { act=android.int
18:29:09.571  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7692)
18:29:09.571  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7692)
18:29:09.571  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7705)
18:29:09.571  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7705)
18:29:09.571  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(94, 66 - 802, 1606), mTaskId = 7705
18:29:09.571  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7705)
18:29:09.571  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7705)
18:29:09.571  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam taskId: 7705 pending: [android.os.BinderProxy@f2eb4] readyDuringSync: [] tracks: [Track#0 Track#1 ]
18:29:09.571  MultiTaskingTaskRepository                 | onTaskInfoChanged::taskId = 7705, windowingMode = 6, mMultiWindowTaskIdsInZOrder = [7705, 7689, 7703, 7690, 7697, 7696, 7695, 7694, 7693, 7692], mFullscreenTaskIdsIn
18:29:09.571  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7705)
18:29:09.571  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7705)
18:29:09.572  MiuiDecorationDot                          | updateCaptionGeometry_TopCaption: taskId=7705 isMultipleSplit=true captionHeight=77 captionOffsetY=0 dotY=38 dotSurfaceHeight=12.0 scale=1.0 mTaskBounds=Rect(94, 66 
18:29:09.572  ATMSImpl                                   | getOrientation: SoScRoot + multipleSplit active → SENSOR_LANDSCAPE, task=Task{b6bfe70 #7691 type=undefined}
18:29:09.572  MiuiSplitInputMethodImpl                   | getDeclaredMethod:java.lang.NoSuchMethodException: com.android.server.inputmethod.InputMethodManagerService.getSelectedMethodIdLocked []
18:29:09.572  LSPosedFramework                           | (com.android.systemui)[com.abel.os4freeformx,OS4FreeFromX,94a-1a0c37e7ea6-45a-196,0,1] 沉浸: task=7705 栏隐藏=true (MiuiDotView#5640344)
18:29:09.572  OS4FreeFromX                               | 沉浸: task=7705 栏隐藏=true (MiuiDotView#5640344)
18:29:09.572  MiuiDecorationBase                         | updateSampling_TopCaption: taskId = 7705 scale = 1.0 mTaskBounds = Rect(94, 66 - 802, 1606) mCaptionVisibility = true mIsFsgestureEntered = false isRunningAnim = fal
18:29:09.572  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7705)
18:29:09.572  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7705)
18:29:09.573  LSPosedFramework                           | (com.android.systemui)[com.abel.os4freeformx,OS4FreeFromX,94a-1a0c37e7ea6-45a-197,0,1] 沉浸: task=7705 栏隐藏=true (MiuiBottomBarView#18627869)
18:29:09.573  OS4FreeFromX                               | 沉浸: task=7705 栏隐藏=true (MiuiBottomBarView#18627869)
18:29:09.573  MiuiDecorationBase                         | updateSampling_BottomCaption: taskId = 7705 scale = 1.0 mTaskBounds = Rect(94, 66 - 802, 1606) mCaptionVisibility = true mIsFsgestureEntered = false isRunningAnim = 
18:29:09.575  MultipleSplitUtils                         | handleTaskInfoChanged task: 7692
18:29:09.575  MultipleSplitStageTaskListener             | onTaskInfoChanged id:7692 isVisible:true isVisibleRequested:true isFocused:false taskActivity:ComponentInfo{com.android.calendar/com.android.calendar.homepage.AllInO
18:29:09.575  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7691)
18:29:09.575  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7691)
18:29:09.575  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7692)
18:29:09.575  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7692)
18:29:09.575  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(94, 66 - 802, 1606), mTaskId = 7692
18:29:09.575  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7692)
18:29:09.575  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7692)
18:29:09.575  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam taskId: 7692 pending: [android.os.BinderProxy@f2eb4] readyDuringSync: [] tracks: [Track#0 Track#1 ]
18:29:09.575  MultiTaskingTaskRepository                 | onTaskInfoChanged::taskId = 7692, windowingMode = 6, mMultiWindowTaskIdsInZOrder = [7705, 7689, 7703, 7690, 7697, 7696, 7695, 7694, 7693, 7692], mFullscreenTaskIdsIn
18:29:09.575  MultiTaskingTaskInfo                       | getCoverLayerController:: null, com.android.wm.shell.multitasking.common.taskmanager.MultiTaskingTaskInfo.lambda$updateCoverLayerController$2:0 com.android.wm.shell.
18:29:09.575  MultiTaskingCoverLayerController           | create cover layer controller, tag = 7692
18:29:09.575  ShellSplitScreen                           | onTaskVanished: task=7703 stageId=SIDE
18:29:09.575  SoScStageTaskListener                      | onTaskVanished id:7703 isVisible:true isFocused:true stageId:SIDE isFocused:false
18:29:09.575  MulWinSwitchSoScStateListener              | onRootTaskVanished:: state = -1
18:29:09.575  MulWinSwitchDecorViewModel                 | destroyWindowDecoration: taskId=7688 windowingMode=1 mWindowDecorByTaskId.size()=5
18:29:09.575  MultipleSplitStageTaskListener             | onTaskAppeared id:7703 isVisible:true isFocused:true taskParent:7693 rootTask:7693 taskActivity:ComponentInfo{com.android.contacts/com.android.contacts.activities.Pe
18:29:09.575  MultipleSplitRootTaskOrganizer             | updateRecentTasks splitTasks: [7705, 7703, -1]com.android.wm.shell.multiplesplit.MultipleSplitRootTaskOrganizer.updateRecentTasks:115 com.android.wm.shell.multiplesp
18:29:09.575  MultipleSplitRootTaskOrganizer             | addRecentTasks splitBounds=mIsMultipleSplit: true mIsInQuickViewMode: false mMultipleSplitBounds: [Rect(94, 66 - 802, 1606), Rect(826, 66 - 1534, 1606), Rect(1558, 6
18:29:09.575  MultipleSplitUtils                         | addMultipleSplitPair splitBounds: mIsMultipleSplit: true mIsInQuickViewMode: false mMultipleSplitBounds: [Rect(94, 66 - 802, 1606), Rect(826, 66 - 1534, 1606), Rect(
18:29:09.575  MultipleSplitStageTaskListener             | updateRealFakeStageInfo root = STAGE_B mTopTaskInfo = TaskInfo{userId=0 taskId=7703 effectiveUid=10116 displayId=0 isRunning=true baseIntent=Intent { act=android.int
18:29:09.575  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7693)
18:29:09.576  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7693)
18:29:09.576  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7703)
18:29:09.576  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7703)
18:29:09.576  MultiTaskingTaskRepository                 | moveMultiWindowTaskToTop taskId=7703
18:29:09.576  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(826, 66 - 1534, 1606), mTaskId = 7703
18:29:09.576  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7703)
18:29:09.576  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7703)
18:29:09.576  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam taskId: 7703 pending: [android.os.BinderProxy@f2eb4] readyDuringSync: [] tracks: [Track#0 Track#1 ]
18:29:09.576  MultiTaskingTaskRepository                 | onTaskInfoChanged::taskId = 7703, windowingMode = 6, mMultiWindowTaskIdsInZOrder = [7703, 7705, 7689, 7690, 7697, 7696, 7695, 7694, 7693, 7692], mFullscreenTaskIdsIn
18:29:09.576  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7703)
18:29:09.576  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7703)
18:29:09.576  MiuiDecorationDot                          | updateCaptionGeometry_TopCaption: taskId=7703 isMultipleSplit=true captionHeight=77 captionOffsetY=0 dotY=38 dotSurfaceHeight=12.0 scale=1.0 mTaskBounds=Rect(826, 66
